lags_to_use,fuzzy_sets,fuzzy_score,average_score
12,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.3974,0.4306
13,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.3975,0.437
14,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4118,0.436
15,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4191,0.4381
16,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4482,0.4377
17,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4441,0.435
18,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.429,0.4364
19,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4232,0.4408
20,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4171,0.4415
21,"[{'name': 'VeryLowDemand', 'type': 'shoulder', 'a': 0, 'b': 25, 'direction': 'left'}, {'name': 'LowDemand', 'type': 'triangular', 'a': 0, 'b': 25, 'c': 50}, {'name': 'MediumDemand', 'type': 'triangular', 'a': 25, 'b': 50, 'c': 100}, {'name': 'HighDemand', 'type': 'triangular', 'a': 50, 'b': 100, 'c': 500}, {'name': 'VeryHighDemand', 'type': 'shoulder', 'a': 100, 'b': 500, 'direction': 'right'}]",0.4352,0.4369
